n,filename,size,source_doi,description
1,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2000_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
2,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2001_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
3,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2002_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
4,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2003_mood_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
5,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2004_mood_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
6,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2005_mood_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
7,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2006_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
8,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2007_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
9,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2008_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
10,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2009_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
11,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2010_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
12,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2011_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
13,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2012_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
14,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2013_mood_v0.1.tif,9.9 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
15,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2014_mood_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
